Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,8.35B,8.63B,9.58B,10.12B,10.23B
Cash & Short Term Investments Growth,-,3.40%,10.97%,5.66%,1.04%
Cash Only,7.76B,7.76B,8.68B,9.12B,9.16B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,14.92%,14.67%,15.64%,15.89%,15.66%
Total Accounts Receivable,4.23B,5.31B,5.25B,5.38B,6.23B
Total Accounts Receivable Growth,-,25.53%,-1.15%,2.55%,15.69%
"Accounts Receivables, Net",3.83B,4.92B,4.92B,5.06B,5.9B
"Accounts Receivables, Gross",3.83B,4.92B,4.92B,5.06B,5.9B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,404M,391M,-,-,-
Accounts Receivable Turnover,1.75,1.56,1.46,1.45,1.39
Inventories,4.54B,4.49B,4.83B,5.38B,5.63B
Finished Goods,604M,513M,610M,540M,620M
Work in Progress,3.48B,3.47B,3.66B,4.22B,4.33B
Raw Materials,454M,505M,556M,621M,684M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.44B,1.48B,534M,613M,623M
Miscellaneous Current Assets,1.44B,1.48B,534M,613M,623M
Total Current Assets,18.56B,19.91B,20.19B,21.5B,22.71B
"Net Property, Plant & Equipment",32.77B,33.76B,35.73B,36.76B,37.36B
"Property, Plant & Equipment - Gross",67.21B,70.01B,73.1B,76B,78.28B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,955M,987M,1.1B,1.12B,1.1B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,34.44B,36.25B,37.37B,39.24B,40.92B
Total Investments and Advances,1.47B,1.83B,1.9B,1.83B,1.75B
Other Long-Term Investments,1.47B,1.83B,1.9B,1.83B,1.75B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.58B,1.58B,1.58B,1.64B,1.64B
Net Goodwill,1.23B,1.23B,1.23B,1.23B,1.23B
Net Other Intangibles,350M,349M,-,-,-
Other Assets,749M,988M,1.11B,1.21B,1.16B
Total Assets,55.94B,58.85B,61.25B,63.7B,65.3B
Total Assets Growth,-,5.19%,4.07%,4.00%,2.51%
